Date,Campaign Name,Broadcast Name,Text
Oct-1,FidoBiz KYB,FidoBiz KYB without Doc Submitted - Oct 1,"Want extra new month cash? FidoBiz offers up to GHS 8,200. Upload a valid document here: https://i.fido.money/mS7prRTF To stop msgs, dial *998*13#"
Oct-1,KYC,KYC verified with out Survey Completion - Oct 1,"Get your cash boost. Finish your signup for up to GHS 8,200 with Fido. Get in: https://i.fido.money/KwAgInLo To stop msgs, dial *998*13#"
Oct-1,Non-eligible to Eligible,Potential Non-Eligible - Oct 1,"Get extra new month cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/XhQjdGMq To unsubscribe, dial *998*13#"
Oct-1,Savings,EasySave Blast - Oct 1,Your money should work for you. Sign up for EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
Oct-2,Non-eligible to Eligible,Potential Non-Eligible - Oct 2,"Get extra new month cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/UFNZjABr To unsubscribe, dial *998*13#"
Oct-2,USSD Dropoff,USSD Dropoffs - Oct 2,"Need extra cash? FIDO offers up to GHS 8,200 in a few simple steps. Start here: https://i.fido.money/0Hdb6MT3 To stop msgs, dial *998*13#"
Oct-2,KYC USSD,KYC USSD Boost - Oct 2,"Want extra cash? Quickly verify your ID with MTN & FIDO. Dial *998*88# and follow the instructions! Easy! To unsubscribe, dial *998*13#"
Oct-2,Savings,EasySave Blast - Oct 2,Your money should work for you. Sign up for EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
Oct-3,USSD Dropoff,USSD Dropoffs - Oct 3,"Need extra cash? FIDO offers up to GHS 8,200 in a few simple steps. Start here: https://i.fido.money/RgevMT6u To stop msgs, dial *998*13#"
Oct-3,Non-eligible to Eligible,Potential Non-Eligible - Oct 3,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/ur53Jts0 To unsubscribe, dial *998*13#"
Oct-3,KYC USSD,KYC USSD Boost - Oct 3,"Want extra cash? Quickly verify your ID with MTN & FIDO. Dial *998*88# and follow the instructions! Easy! To unsubscribe, dial *998*13#"
Oct-3,KYC,KYC verified with out Survey Completion - Oct 3,"Get your cash boost. Finish your signup for up to GHS 8,200 with Fido. Get in: https://i.fido.money/XFsauM0T To stop msgs, dial *998*13#"
Oct-3,FidoBiz KYB,FidoBiz KYB without Doc Submitted - Oct 3,"Want extra cash? FidoBiz offers up to GHS 8,200. Upload a valid document here: https://i.fido.money/hRhiUe2C To stop msgs, dial *998*13#"""
Oct-3,Savings,EasySave Blast - Oct 3,Your money should work for you. Sign up for EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
Oct-3,Referrals,Referral Campaign - Oct 3,Make money from referrals. Earn GHS 55 when your friend takes a FIDO loan using your code. They get GHS 15 too. Start: https://app.fido.money/invite-friends
Oct-4,Non-eligible to Eligible,Potential Non-Eligible - Oct 4,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/Gi60NJRx To unsubscribe, dial *998*13#"
Oct-5,Non-eligible to Eligible,Potential Non-Eligible - Oct 5,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/eVpznwXD To unsubscribe, dial *998*13#"
Oct-5,KYC,KYC verified with out Survey Completion - Oct 5,"Get your cash boost. Finish your signup for up to GHS 8,200 with Fido. Get in: https://i.fido.money/fkIzVq1h To stop msgs, dial *998*13#"
Oct-5,FidoBiz Approved,FidoBiz Approved but no L0 - Oct 5,"Get your cash. You're already approved for an instant FidoBiz loan. Withdraw at https://i.fido.money/F1MQAyFF . To unsubscribe, dial *998*13#"
Oct-6,Savings,EasySave Blast - Oct 6,Your money should work for you. Sign up for EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
Oct-6,Non-eligible to Eligible,Potential Non-Eligible - Oct 6,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/2fiNznaM To unsubscribe, dial *998*13#"
Oct-6,Eligible,Eligible but no L0 - Oct 6,"Ready for your cash? You are already eligible for a FIDO loan. Withdraw here: https://i.fido.money/AKHAmGGl . To unsubscribe, dial *998*13#"
Oct-7,USSD Dropoff,USSD Dropoffs - Oct 7,"Need extra cash? FIDO offers up to GHS 8,200 in a few simple steps. Start here: https://i.fido.money/1jPDklua To stop msgs, dial *998*13#"
Oct-7,Non-eligible to Eligible,Potential Non-Eligible - Oct 7,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/6lb5ugrL To unsubscribe, dial *998*13#"
Oct-7,Savings,EasySave Blast - Oct 7,Your money should work for you. Sign up for FIDO's EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
Oct-8,FidoBiz Referrals,FidoBiz Referral Champions - Oct 8,"Make good cash! Get GHS 55 per referral, gain points towards weekly prizes and a grand prize at https://i.fido.money/6IGwdjJ4 To stop msgs, dial *998*13#"
Oct-8,FidoBiz LPs,Landing Page to App Dropoffs - Oct 8,"Thousands of people are cashing out their FidoBiz loan of up to 8,200 GHS. You can be next. Start the process here: https://i.fido.money/fLs42Lhp"
Oct-8,Non-eligible to Eligible,Potential Non-Eligible - Oct 8,"Get extra cash! Upload a MoMo statement for your loan approval in just minutes: https://i.fido.money/1Ngq4OFu To unsubscribe, dial *998*13#"
Oct-8,Savings,EasySave Blast - Oct 8,Your money should work for you. Sign up for EasySave and earn up to 10% interest. Zero fees. Powered by Access Bank: https://b.fido.money/save
