CLIENT_ID,RANK,ACCT_TYPE,DISASTER_INSURANCE_START_DATE,RECORD_MONTH
4689,1,PERSONAL,2025-02-15,Feb'25
4689,2,BUSINESS_OWNER,2025-05-13,May'25
9768,1,BUSINESS_OWNER,2025-01-11,Jan'25
9768,2,BUSINESS_OWNER,2025-03-09,Mar'25
518805,1,PERSONAL,2025-01-13,Jan'25
518805,2,PERSONAL,2025-03-13,Mar'25
657033,1,PERSONAL,2025-02-01,Feb'25
657033,2,BUSINESS_OWNER,2025-04-30,Apr'25
887717,1,PERSONAL,2025-01-15,Jan'25
887717,2,BUSINESS_OWNER,2025-03-28,Mar'25
1145968,1,PERSONAL,2025-02-10,Feb'25
1145968,2,BUSINESS_OWNER,2025-06-02,Jun'25
1785650,1,PERSONAL,2025-01-24,Jan'25
1785650,2,PERSONAL,2025-03-24,Mar'25
3192553,1,BUSINESS_OWNER,2025-01-31,Jan'25
3192553,2,BUSINESS_OWNER,2025-03-30,Mar'25
3344735,1,PERSONAL,2025-02-25,Feb'25
3344735,2,PERSONAL,2025-03-31,Mar'25
3688386,1,PERSONAL,2025-01-13,Jan'25
3688386,2,PERSONAL,2025-03-13,Mar'25
3961414,1,BUSINESS_OWNER,2025-02-03,Feb'25
3961414,2,BUSINESS_OWNER,2025-03-05,Mar'25
5067198,1,PERSONAL,2025-01-25,Jan'25
5067198,2,BUSINESS_OWNER,2025-03-29,Mar'25
6119540,1,PERSONAL,2025-01-06,Jan'25
6119540,2,PERSONAL,2025-07-18,Jul'25
6266190,1,PERSONAL,2025-01-02,Jan'25
6266190,2,BUSINESS_OWNER,2025-03-29,Mar'25
6776693,1,PERSONAL,2025-01-28,Jan'25
6776693,2,PERSONAL,2025-03-19,Mar'25
6987495,1,PERSONAL,2025-02-06,Feb'25
6987495,2,PERSONAL,2025-04-02,Apr'25
7031179,1,PERSONAL,2025-01-22,Jan'25
7031179,2,BUSINESS_OWNER,2025-07-27,Jul'25
7245074,1,PERSONAL,2025-01-24,Jan'25
7245074,2,PERSONAL,2025-04-02,Apr'25
7458543,1,PERSONAL,2025-01-31,Jan'25
7458543,2,BUSINESS_OWNER,2025-03-05,Mar'25
7567719,1,BUSINESS_OWNER,2025-02-19,Feb'25
7567719,2,BUSINESS_OWNER,2025-03-24,Mar'25
9592345,1,PERSONAL,2025-02-05,Feb'25
9592345,2,BUSINESS_OWNER,2025-03-14,Mar'25
10850028,1,PERSONAL,2025-01-23,Jan'25
10850028,2,PERSONAL,2025-04-02,Apr'25
13667617,1,PERSONAL,2025-01-10,Jan'25
13667617,2,BUSINESS_OWNER,2025-06-02,Jun'25
14066445,1,PERSONAL,2025-02-15,Feb'25
14066445,2,BUSINESS_OWNER,2025-04-24,Apr'25
14190555,1,PERSONAL,2025-02-03,Feb'25
14190555,2,PERSONAL,2025-04-04,Apr'25
16376487,1,PERSONAL,2025-01-06,Jan'25
16376487,2,PERSONAL,2025-03-11,Mar'25
16834224,1,PERSONAL,2025-01-25,Jan'25
16834224,2,PERSONAL,2025-03-21,Mar'25
17720063,1,PERSONAL,2025-02-01,Feb'25
17720063,2,BUSINESS_OWNER,2025-03-29,Mar'25
20087536,1,PERSONAL,2025-01-02,Jan'25
20087536,2,PERSONAL,2025-03-12,Mar'25
21047713,1,PERSONAL,2025-01-04,Jan'25
21047713,2,PERSONAL,2025-03-22,Mar'25
21470071,1,PERSONAL,2025-01-17,Jan'25
21470071,2,PERSONAL,2025-03-19,Mar'25
22271154,1,BUSINESS_OWNER,2025-02-03,Feb'25
22271154,2,BUSINESS_OWNER,2025-03-16,Mar'25
22323247,1,PERSONAL,2025-01-08,Jan'25
22323247,2,BUSINESS_OWNER,2025-05-05,May'25
24151246,1,PERSONAL,2025-01-31,Jan'25
24151246,2,BUSINESS_OWNER,2025-03-28,Mar'25
24563866,1,PERSONAL,2025-02-22,Feb'25
24563866,2,PERSONAL,2025-03-31,Mar'25
24848117,1,PERSONAL,2025-02-25,Feb'25
24848117,2,PERSONAL,2025-03-24,Mar'25
24904430,1,PERSONAL,2025-02-05,Feb'25
24904430,2,PERSONAL,2025-03-30,Mar'25
25452392,1,PERSONAL,2025-02-03,Feb'25
25452392,2,PERSONAL,2025-04-01,Apr'25
26420320,1,PERSONAL,2025-01-28,Jan'25
26420320,2,BUSINESS_OWNER,2025-04-07,Apr'25
28209745,1,PERSONAL,2025-01-26,Jan'25
28209745,2,BUSINESS_OWNER,2025-03-28,Mar'25
29481220,1,PERSONAL,2025-01-30,Jan'25
29481220,2,PERSONAL,2025-03-26,Mar'25
30374554,1,BUSINESS_OWNER,2025-02-18,Feb'25
30374554,2,BUSINESS_OWNER,2025-03-21,Mar'25
30449268,1,PERSONAL,2025-01-11,Jan'25
30449268,2,BUSINESS_OWNER,2025-03-20,Mar'25
31509914,1,PERSONAL,2025-01-27,Jan'25
31509914,2,PERSONAL,2025-04-04,Apr'25
32254869,1,BUSINESS_OWNER,2025-01-27,Jan'25
32254869,2,BUSINESS_OWNER,2025-03-28,Mar'25
32702517,1,PERSONAL,2025-02-04,Feb'25
32702517,2,PERSONAL,2025-03-05,Mar'25
32759889,1,PERSONAL,2025-01-26,Jan'25
32759889,2,BUSINESS_OWNER,2025-03-19,Mar'25
33349151,1,PERSONAL,2025-01-21,Jan'25
33349151,2,PERSONAL,2025-01-21,Jan'25
33436484,1,PERSONAL,2025-02-26,Feb'25
33436484,2,PERSONAL,2025-03-24,Mar'25
34162078,1,PERSONAL,2025-02-10,Feb'25
34162078,2,BUSINESS_OWNER,2025-03-31,Mar'25
36348324,1,PERSONAL,2025-01-10,Jan'25
36348324,2,BUSINESS_OWNER,2025-05-31,May'25
36348338,1,PERSONAL,2025-01-31,Jan'25
36348338,2,PERSONAL,2025-04-03,Apr'25
36684999,1,PERSONAL,2025-02-16,Feb'25
36684999,2,PERSONAL,2025-04-02,Apr'25
37141530,1,PERSONAL,2025-01-26,Jan'25
37141530,2,BUSINESS_OWNER,2025-05-29,May'25
37342271,1,PERSONAL,2025-01-27,Jan'25
37342271,2,PERSONAL,2025-03-28,Mar'25
38098131,1,PERSONAL,2025-01-31,Jan'25
38098131,2,BUSINESS_OWNER,2025-03-06,Mar'25
38207141,1,PERSONAL,2025-01-27,Jan'25
38207141,2,PERSONAL,2025-03-30,Mar'25
40513014,1,PERSONAL,2025-01-31,Jan'25
40513014,2,PERSONAL,2025-04-01,Apr'25
40741553,1,PERSONAL,2025-01-26,Jan'25
40741553,2,BUSINESS_OWNER,2025-03-26,Mar'25
41182159,1,BUSINESS_OWNER,2025-01-28,Jan'25
41182159,2,BUSINESS_OWNER,2025-04-01,Apr'25
41744088,1,PERSONAL,2025-01-25,Jan'25
41744088,2,BUSINESS_OWNER,2025-03-25,Mar'25
43240877,1,PERSONAL,2025-01-13,Jan'25
43240877,2,BUSINESS_OWNER,2025-03-19,Mar'25
43402648,1,PERSONAL,2025-01-27,Jan'25
43402648,2,BUSINESS_OWNER,2025-05-27,May'25
