CLIENT_ID,TOTAL_ACCOUNTS,DEPOSITS,WITHDRAWALS,TOTAL_DEPOSITS_AMOUNT,TOTAL_WITHDRAWALS_AMOUNT,LAST_BALANCE,MAX_LN,TOTAL_LOANS,FIDO_SCORE_AT_SIGNUP,AGE,GENDER,REGION,INCOME_VALUE,CUST_LOCATION,LOAN_SEGMENT,BEHAVIORAL_SEGMENT,FIRST_ACCOUNT_LIFE_DAYS,FIRST_ACCOUNT_CLOSED_DATE,FIRST_ACCOUNT_STATE,SAVINGS_TIMING_CATEGORY,SIMPLIFIED_TIMING,DAYS_DISBURSEMENT_TO_SAVINGS,DAYS_REPAYMENT_TO_SAVINGS,REPAYMENT_STATE,PRIMARY_TIMING_CATEGORY,FIRST_ACCOUNT_STATUS,MONTHLY_DEPOSIT_FREQUENCY,MONTHLY_WITHDRAWAL_FREQUENCY,DAYS_ACTIVE
000000071,1,6,2,60.0000000000,-20.0000000000,40.8100000000,35,36,690,,,,,,high_ln_savers,savers,136,,ACTIVE,with_active_loan,with_active_loan,32,-126,PARTIALLY_PAID,with_active_loan,still_active,2.000000,0.666667,91
000001534,1,1,0,20.0000000000,0.0000000000,20.0000000000,13,14,391,29,MALE,Accra,Above 1800 GHS,Odorkor,high_ln_savers,savers,39,,ACTIVE,with_active_loan,with_active_loan,0,,PENDING,with_active_loan,still_active,1.000000,0.000000,0
000001617,1,3,0,150.0000000000,0.0000000000,150.0500000000,24,25,662,25,MALE,Eastern Region,351 GHS - 700 GHS,Koforidua,high_ln_savers,savers,22,,ACTIVE,before_disbursement,before_disbursement,-2,-3,PAID,before_disbursement,still_active,3.000000,0.000000,3
000001699,1,9,10,527.0000000000,-507.0000000000,20.3900000000,17,18,482,,,,,,high_ln_savers,wallet_users,21,,ACTIVE,before_disbursement,before_disbursement,-3,,PENDING,before_disbursement,still_active,9.000000,10.000000,16
000002815,1,3,1,42.0100000000,-0.0100000000,42.2900000000,19,20,476,,,,,,high_ln_savers,savers,43,,ACTIVE,before_disbursement,before_disbursement,-29,,PENDING,before_disbursement,still_active,3.000000,1.000000,29
000002938,1,1,0,500.0000000000,0.0000000000,500.0000000000,11,12,383,,,,,,high_ln_savers,savers,10,,ACTIVE,with_active_loan,with_active_loan,5,,PENDING,with_active_loan,still_active,1.000000,0.000000,0
000004023,1,2,2,200.0000000000,-0.1100000000,200.3600000000,32,33,669,,,,,,high_ln_savers,savers,114,,ACTIVE,before_disbursement,before_disbursement,-69,,PENDING,before_disbursement,still_active,2.000000,2.000000,15
000004359,1,1,0,20.0000000000,0.0000000000,20.0000000000,2,3,250,,,,,,low_ln_savers,savers,2,,ACTIVE,after_loan_closed,after_loan_closed,3730,3469,PAID,after_loan_closed,still_active,1.000000,0.000000,0
000004511,1,2,0,150.0000000000,0.0000000000,150.1800000000,1,2,371,32,MALE,Greater Accra Region,Above 1800 GHS,Tema West Municipal,low_ln_savers,savers,19,,ACTIVE,after_loan_closed,after_loan_closed,8,0,PAID,after_loan_closed,still_active,2.000000,0.000000,6
000004642,1,2,0,50.0000000000,0.0000000000,50.0400000000,20,21,319,,,,,,high_ln_savers,savers,22,,ACTIVE,before_disbursement,before_disbursement,-4,,PENDING,before_disbursement,still_active,2.000000,0.000000,4
